SeriesInstanceUID,prediction
1.3.46.670589.11.10042.5.0.7984.2024022308380901270,0
1.3.46.670589.11.10042.5.0.7984.2024022308391257301,0
1.3.46.670589.11.10042.5.0.7984.2024022313282310439,0
1.3.46.670589.11.10042.5.0.7984.2024022313290384645,0
1.3.46.670589.11.10042.5.0.7984.2024022313300357670,0
1.3.46.670589.11.10042.5.0.7984.2024022316192348557,0
1.3.46.670589.11.10042.5.0.7984.2024022316173048525,0
1.3.46.670589.11.10042.5.0.7984.2024022316180473526,0
1.3.46.670589.11.10042.5.0.7984.2024022316282501701,0
1.3.46.670589.11.10042.5.0.7984.2024022316295067732,0
1.3.46.670589.11.10042.5.0.7984.2024022316274968700,0
1.3.46.670589.11.10042.5.0.7984.2024022320295792671,0
1.3.46.670589.11.10042.5.0.7984.2024022320303206672,0
1.3.46.670589.11.10042.5.0.7984.2024022320315760703,0
1.3.46.670589.11.10042.5.0.7984.2024022320383045821,0
1.3.46.670589.11.10042.5.0.7984.2024022320390559822,0
1.3.46.670589.11.10042.5.0.7984.2024022320403118853,0
1.3.46.670589.11.10042.5.0.7984.2024022320465918972,0
1.3.46.670589.11.10042.5.0.7984.2024022320482470003,0
1.3.46.670589.11.10042.5.0.7984.2024022320462501971,0
1.3.46.670589.11.10042.5.0.7984.2024022401012539965,0
1.3.46.670589.11.10042.5.0.7984.2024022401045039026,0
1.3.46.670589.11.10042.5.0.7984.2024022401021073966,0
1.3.46.670589.11.10042.5.0.4776.2024021806043104309,0
1.3.46.670589.11.10042.5.0.4776.2024021806052850310,0
1.3.46.670589.11.10042.5.0.4776.2024021806062900341,0
1.3.46.670589.11.10042.5.0.4776.2024021807434540566,0
1.3.46.670589.11.10042.5.0.4776.2024021807424507535,0
1.3.46.670589.11.10042.5.0.4776.2024021807415012534,0
1.3.46.670589.11.10042.5.0.4776.2024021807530473720,0
1.3.46.670589.11.10042.5.0.4776.2024021807520450689,0
1.3.46.670589.11.10042.5.0.4776.2024021807510814688,0
1.3.46.670589.11.10042.5.0.4776.2024021809320143993,0
1.3.46.670589.11.10042.5.0.4776.2024021809325667994,0
1.3.46.670589.11.10042.5.0.4776.2024021809335679025,0
1.3.46.670589.11.10042.5.0.4776.2024021810393235059,0
1.3.46.670589.11.10042.5.0.4776.2024021810403246090,0
1.3.46.670589.11.10042.5.0.4776.2024021810383714058,0
1.3.46.670589.11.10042.5.0.4776.2024021810493481244,1
1.3.46.670589.11.10042.5.0.4776.2024021810483425213,1
1.3.46.670589.11.10042.5.0.4776.2024021810473792212,1
1.3.46.670589.11.10042.5.0.4776.2024021811020678437,0
1.3.46.670589.11.10042.5.0.4776.2024021811030217438,0
1.3.46.670589.11.10042.5.0.4776.2024021811040253469,0
1.3.46.670589.11.10042.5.0.4776.2024021811420617239,0
1.3.46.670589.11.10042.5.0.4776.2024021811430259240,0
1.3.46.670589.11.10042.5.0.4776.2024021811440346271,0
1.3.46.670589.11.10042.5.0.4776.2024021811544289514,0
1.3.46.670589.11.10042.5.0.4776.2024021811534285425,0
1.3.46.670589.11.10042.5.0.4776.2024021811513151393,0
1.3.46.670589.11.10042.5.0.4776.2024021812021950632,0
1.3.46.670589.11.10042.5.0.4776.2024021812051445753,0
1.3.46.670589.11.10042.5.0.4776.2024021812061478778,0
1.3.46.670589.11.10042.5.0.4776.2024021814181753481,0
1.3.46.670589.11.10042.5.0.4776.2024021814191250482,0
1.3.46.670589.11.10042.5.0.4776.2024021814201245513,0
1.3.46.670589.11.10042.5.0.4776.2024021816124709416,0
1.3.46.670589.11.10042.5.0.4776.2024021816144257448,0
1.3.46.670589.11.10042.5.0.4776.2024021816134229417,0
1.3.46.670589.11.10042.5.0.1680.2024031111390607128,0
1.3.46.670589.11.10042.5.0.1680.2024031111382465127,0
1.3.46.670589.11.10042.5.0.1680.2024031111400598159,0
1.3.46.670589.11.10042.5.0.1680.2024031112033367592,0
1.3.46.670589.11.10042.5.0.1680.2024031112043364623,0
1.3.46.670589.11.10042.5.0.1680.2024031112025225591,0
1.3.46.670589.11.10042.5.0.1680.2024031112221207962,0
1.3.46.670589.11.10042.5.0.1680.2024031112210828937,0
1.3.46.670589.11.10042.5.0.1680.2024031112202309906,0
1.3.46.670589.11.10042.5.0.1680.2024031112473098453,0
1.3.46.670589.11.10042.5.0.1680.2024031112464907452,0
1.3.46.670589.11.10042.5.0.1680.2024031112453171427,0
1.3.46.670589.11.10042.5.0.1680.2024031113385481201,0
1.3.46.670589.11.10042.5.0.1680.2024031113381007200,0
1.3.46.670589.11.10042.5.0.1680.2024031113395939232,0
1.3.46.670589.11.10042.5.0.1680.2024031117154995435,0
1.3.46.670589.11.10042.5.0.1680.2024031117162817436,0
1.3.46.670589.11.10042.5.0.1680.2024031117173553467,0
1.3.46.670589.11.10042.5.0.1680.2024031117301412893,0
1.3.46.670589.11.10042.5.0.1680.2024031117284870874,0
1.3.46.670589.11.10042.5.0.1680.2024031117280793680,0
1.3.46.670589.11.10042.5.0.1680.2024031117375398110,1
1.3.46.670589.11.10042.5.0.1680.2024031117383490111,1
1.3.46.670589.11.10042.5.0.1680.2024031117394765142,1
1.3.46.670589.11.10042.5.0.1680.2024031117552584424,1
1.3.46.670589.11.10042.5.0.1680.2024031117562864425,1
1.3.46.670589.11.10042.5.0.1680.2024031118044251561,1
1.3.46.670589.11.10042.5.0.1680.2024031200195667950,0
1.3.46.670589.11.10042.5.0.1680.2024031200203659951,0
1.3.46.670589.11.10042.5.0.1680.2024031200233993025,0
1.3.46.670589.11.10042.5.0.1680.2024031201542387440,0
1.3.46.670589.11.10042.5.0.1680.2024031201563031474,0
1.3.46.670589.11.10042.5.0.1680.2024031201550934441,0
1.3.46.670589.11.10042.5.0.1680.2024031202054895723,0
1.3.46.670589.11.10042.5.0.1680.2024031202042800690,0
1.3.46.670589.11.10042.5.0.1680.2024031202034257689,0
1.3.46.670589.11.10042.5.0.1680.2024031202461735352,0
1.3.46.670589.11.10042.5.0.1680.2024031202445645319,0
1.3.46.670589.11.10042.5.0.1680.2024031202441096318,0
1.3.46.670589.11.10042.5.0.1680.2024031203215460893,0
1.3.46.670589.11.10042.5.0.1680.2024031203203351860,0
1.3.46.670589.11.10042.5.0.1680.2024031203194775859,0
1.3.46.670589.11.10042.5.0.8184.2024011306273354030,0
1.3.46.670589.11.10042.5.0.8184.2024011306260812999,0
1.3.46.670589.11.10042.5.0.8184.2024011306253409998,0
1.3.46.670589.11.10042.5.0.8184.2024011306495323723,0
1.3.46.670589.11.10042.5.0.8184.2024011306472121596,0
1.3.46.670589.11.10042.5.0.8184.2024011306455260570,0
1.3.46.670589.11.10042.5.0.8184.2024011310101754018,0
1.3.46.670589.11.10042.5.0.8184.2024011310072925897,0
1.3.46.670589.11.10042.5.0.8184.2024011310085907923,0
1.3.46.670589.11.10042.5.0.8184.2024011311252181141,0
1.3.46.670589.11.10042.5.0.8184.2024011311264685173,0
1.3.46.670589.11.10042.5.0.8184.2024011311281226262,0
1.3.46.670589.11.10042.5.0.8184.2024011311145626902,0
1.3.46.670589.11.10042.5.0.8184.2024011311174676023,0
1.3.46.670589.11.10042.5.0.8184.2024011311162134928,0
1.3.46.670589.11.10042.5.0.8184.2024011311473589738,0
1.3.46.670589.11.10042.5.0.8184.2024011311502878859,0
1.3.46.670589.11.10042.5.0.8184.2024011311490348770,0
1.3.46.670589.11.10042.5.0.8184.2024011313313210213,0
1.3.46.670589.11.10042.5.0.8184.2024011313365432288,0
1.3.46.670589.11.10042.5.0.8184.2024011313320854214,0
1.3.46.670589.11.10042.5.0.8184.2024011314103676796,1
1.3.46.670589.11.10042.5.0.8184.2024011314125314846,1
1.3.46.670589.11.10042.5.0.8184.2024011314100275795,1
1.3.46.670589.11.10042.5.0.8184.2024011314210992130,0
1.3.46.670589.11.10042.5.0.8184.2024011314182018009,0
1.3.46.670589.11.10042.5.0.8184.2024011314194451041,0
1.3.46.670589.11.10042.5.0.8184.2024011314263715223,0
1.3.46.670589.11.10042.5.0.8184.2024011314280217255,0
1.3.46.670589.11.10042.5.0.8184.2024011314292754344,0
1.3.46.670589.11.10042.5.0.8184.2024011317033260326,0
1.3.46.670589.11.10042.5.0.8184.2024011317043031327,0
1.3.46.670589.11.10042.5.0.8184.2024011317053062358,0
1.3.46.670589.11.10042.5.0.8184.2024011317270628817,0
1.3.46.670589.11.10042.5.0.8184.2024011317260603792,0
1.3.46.670589.11.10042.5.0.8184.2024011317251118572,0
1.3.46.670589.11.10042.5.0.8184.2024011321574398954,0
1.3.46.670589.11.10042.5.0.8184.2024011321595084988,0
1.3.46.670589.11.10042.5.0.8184.2024011321582975955,0
1.3.46.670589.11.10042.5.0.8184.2024011322080584204,0
1.3.46.670589.11.10042.5.0.8184.2024011322092676237,0
1.3.46.670589.11.10042.5.0.8184.2024011322072035203,0
1.3.46.670589.11.10042.5.0.8184.2024011400495323500,0
1.3.46.670589.11.10042.5.0.8184.2024011400503306501,0
1.3.46.670589.11.10042.5.0.8184.2024011400520523536,0
1.3.46.670589.11.10042.5.0.8184.2024011401293135042,0
1.3.46.670589.11.10042.5.0.8184.2024011401313790076,0
1.3.46.670589.11.10042.5.0.8184.2024011401301696043,0
1.3.46.670589.11.10042.5.0.8184.2024011401410660325,0
1.3.46.670589.11.10042.5.0.8184.2024011401394573292,0
1.3.46.670589.11.10042.5.0.8184.2024011401390023291,0
1.3.46.670589.11.10042.5.0.920.2024010217500596612,0
1.3.46.670589.11.10042.5.0.920.2024010217475957578,0
1.3.46.670589.11.10042.5.0.920.2024010217484507579,0
1.3.46.670589.11.10042.5.0.920.2024010219063818810,0
1.3.46.670589.11.10042.5.0.920.2024010219072373811,0
1.3.46.670589.11.10042.5.0.920.2024010219084476844,0
1.3.46.670589.11.10042.5.0.920.2024010220304484935,0
1.3.46.670589.11.10042.5.0.920.2024010220321776968,0
1.3.46.670589.11.10042.5.0.920.2024010220295523934,0
1.3.46.670589.11.10042.5.0.920.2024010300252204460,1
1.3.46.670589.11.10042.5.0.920.2024010300234914435,1
1.3.46.670589.11.10042.5.0.920.2024010300215256407,1
1.3.46.670589.11.10042.5.0.920.2024010301075917048,0
1.3.46.670589.11.10042.5.0.920.2024010301101162082,0
1.3.46.670589.11.10042.5.0.920.2024010301084448049,0
1.3.46.670589.11.10042.5.0.6596.2024021818172879370,0
1.3.46.670589.11.10042.5.0.6596.2024021818213939409,0
1.3.46.670589.11.10042.5.0.6596.2024021818223956623,0
1.3.46.670589.11.10042.5.0.6596.2024021819003157223,0
1.3.46.670589.11.10042.5.0.6596.2024021818575298197,0
1.3.46.670589.11.10042.5.0.6596.2024021819140246536,0
1.3.46.670589.11.10042.5.0.6596.2024021823082390884,0
1.3.46.670589.11.10042.5.0.6596.2024021823090853885,0
1.3.46.670589.11.10042.5.0.6596.2024021823101257916,0
1.3.46.670589.11.10042.5.0.6596.2024021900415371227,0
1.3.46.670589.11.10042.5.0.6596.2024021900393017193,0
1.3.46.670589.11.10042.5.0.6596.2024021900402084194,0
1.3.46.670589.11.10042.5.0.6596.2024021902554090962,0
1.3.46.670589.11.10042.5.0.6596.2024021902571370987,0
1.3.46.670589.11.10042.5.0.6596.2024021902534353928,0
1.3.46.670589.11.10042.5.0.6596.2024021903510284784,0
1.3.46.670589.11.10042.5.0.6596.2024021903500246759,0
1.3.46.670589.11.10042.5.0.6596.2024021903492170758,0
1.3.46.670589.11.10042.5.0.6596.2024012106203775109,0
1.3.46.670589.11.10042.5.0.6596.2024012106193793078,0
1.3.46.670589.11.10042.5.0.6596.2024012106184031077,0
1.3.46.670589.11.10042.5.0.6596.2024012106293657263,0
1.3.46.670589.11.10042.5.0.6596.2024012106274092231,0
1.3.46.670589.11.10042.5.0.6596.2024012106283576232,0
1.3.46.670589.11.10042.5.0.6596.2024012107145254838,0
1.3.46.670589.11.10042.5.0.6596.2024012107154765839,0
1.3.46.670589.11.10042.5.0.6596.2024012107164778870,0
1.3.46.670589.11.10042.5.0.6596.2024012109311348571,0
1.3.46.670589.11.10042.5.0.6596.2024012109321404602,0
1.3.46.670589.11.10042.5.0.6596.2024012109301829570,0
1.3.46.670589.11.10042.5.0.6596.2024012109430607756,1
1.3.46.670589.11.10042.5.0.6596.2024012109440593845,1
1.3.46.670589.11.10042.5.0.6596.2024012109405473724,1
1.3.46.670589.11.10042.5.0.6596.2024012110013468252,0
1.3.46.670589.11.10042.5.0.6596.2024012110003490131,0
1.3.46.670589.11.10042.5.0.6596.2024012109531929963,0
1.3.46.670589.11.10042.5.0.6596.2024012110370925812,0
1.3.46.670589.11.10042.5.0.6596.2024012110342773768,0
1.3.46.670589.11.10042.5.0.6596.2024012110323251736,0
1.3.46.670589.11.10042.5.0.6596.2024012110473906962,0
1.3.46.670589.11.10042.5.0.6596.2024012110464387961,0
1.3.46.670589.11.10042.5.0.6596.2024012110483910993,0
1.3.46.670589.11.10042.5.0.6596.2024012111075360269,0
1.3.46.670589.11.10042.5.0.6596.2024012111084879270,0
1.3.46.670589.11.10042.5.0.6596.2024012111094867301,0
1.3.46.670589.11.10042.5.0.6596.2024012111591385977,1
1.3.46.670589.11.10042.5.0.6596.2024012112000890978,1
1.3.46.670589.11.10042.5.0.6596.2024012112010878009,1
1.3.46.670589.11.10042.5.0.6596.2024012112313503347,0
1.3.46.670589.11.10042.5.0.6596.2024012112355537495,0
1.3.46.670589.11.10042.5.0.6596.2024012112345465398,0
1.3.46.670589.11.10042.5.0.6596.2024012113432732347,1
1.3.46.670589.11.10042.5.0.6596.2024012113454106397,1
1.3.46.670589.11.10042.5.0.6596.2024012113464135492,1
1.3.46.670589.11.10042.5.0.6596.2024012114032162722,0
1.3.46.670589.11.10042.5.0.6596.2024012114051953760,0
1.3.46.670589.11.10042.5.0.6596.2024012114041943723,0
1.3.46.670589.11.10042.5.0.6596.2024012114130568876,1
1.3.46.670589.11.10042.5.0.6596.2024012114140318877,1
1.3.46.670589.11.10042.5.0.6596.2024012114150329908,1
1.3.46.670589.11.10042.5.0.6596.2024012117535546910,0
1.3.46.670589.11.10042.5.0.6596.2024012117555039942,0
1.3.46.670589.11.10042.5.0.6596.2024012117545064911,0
1.3.46.670589.11.10042.5.0.6596.2024012118055290121,1
1.3.46.670589.11.10042.5.0.6596.2024012118045310096,1
1.3.46.670589.11.10042.5.0.6596.2024012118035809065,1
1.3.46.670589.11.10042.5.0.6596.2024012118220971387,0
1.3.46.670589.11.10042.5.0.6596.2024012118210998356,0
1.3.46.670589.11.10042.5.0.6596.2024012118201487355,0
1.3.46.670589.11.10042.5.0.6596.2024012122483368040,0
1.3.46.670589.11.10042.5.0.6596.2024012122470114007,0
1.3.46.670589.11.10042.5.0.6596.2024012122461168006,0
1.3.46.670589.11.10042.5.0.6596.2024012200471948715,0
1.3.46.670589.11.10042.5.0.6596.2024012200485200740,0
1.3.46.670589.11.10042.5.0.6596.2024012200452360681,0
1.3.46.670589.11.10042.5.0.5596.2024031407372615164,0
1.3.46.670589.11.10042.5.0.5596.2024031407364776133,0
1.3.46.670589.11.10042.5.0.5596.2024031407354587132,0
1.3.46.670589.11.10042.5.0.5596.2024031408115642830,0
1.3.46.670589.11.10042.5.0.5596.2024031408111812799,0
1.3.46.670589.11.10042.5.0.5596.2024031408101539798,0
1.3.46.670589.11.10042.5.0.5596.2024031412332328983,0
1.3.46.670589.11.10042.5.0.5596.2024031412322206777,0
1.3.46.670589.11.10042.5.0.5596.2024031412340159008,0
1.3.46.670589.11.10042.5.0.5596.2024031412570662502,0
1.3.46.670589.11.10042.5.0.5596.2024031412574509503,0
1.3.46.670589.11.10042.5.0.5596.2024031412584548534,0
1.3.46.670589.11.10042.5.0.5596.2024031423054471629,0
1.3.46.670589.11.10042.5.0.5596.2024031423084017687,0
1.3.46.670589.11.10042.5.0.5596.2024031423073476662,0
1.3.46.670589.11.10042.5.0.5548.2024010415184967109,0
1.3.46.670589.11.10042.5.0.5548.2024010415210609143,0
1.3.46.670589.11.10042.5.0.5548.2024010415194684110,0
1.3.46.670589.11.10042.5.0.5548.2024010416484714563,0
1.3.46.670589.11.10042.5.0.5548.2024010416472782530,0
1.3.46.670589.11.10042.5.0.5548.2024010416463057529,0
1.3.46.670589.11.10042.5.0.5548.2024010418011746776,0
1.3.46.670589.11.10042.5.0.5548.2024010417595792743,0
1.3.46.670589.11.10042.5.0.5548.2024010417590057742,0
1.3.46.670589.11.10042.5.0.5548.2024010418413621603,0
1.3.46.670589.11.10042.5.0.5548.2024010418425554636,0
1.3.46.670589.11.10042.5.0.5548.2024010418403900602,0
1.3.46.670589.11.10042.5.0.5548.2024010421171325468,0
1.3.46.670589.11.10042.5.0.5548.2024010421192534503,0
1.3.46.670589.11.10042.5.0.5548.2024010421175846469,0
1.3.46.670589.11.10042.5.0.5548.2024010421475223951,0
1.3.46.670589.11.10042.5.0.5548.2024010421462493924,0
1.3.46.670589.11.10042.5.0.5548.2024010421453971923,0
1.3.46.670589.11.10042.5.0.5548.2024010421564837105,0
1.3.46.670589.11.10042.5.0.5548.2024010421560318104,0
1.3.46.670589.11.10042.5.0.5548.2024010421581540138,0
1.3.46.670589.11.10042.5.0.5548.2024010423240117307,0
1.3.46.670589.11.10042.5.0.5548.2024010423253385340,0
1.3.46.670589.11.10042.5.0.5548.2024010423231165306,0
1.3.46.670589.11.10042.5.0.5548.2024010500310364305,0
1.3.46.670589.11.10042.5.0.5548.2024010500293698252,0
1.3.46.670589.11.10042.5.0.5548.2024010500285159251,0
1.3.46.670589.11.10042.5.0.5548.2024010500442115528,0
1.3.46.670589.11.10042.5.0.5548.2024010500425393491,0
1.3.46.670589.11.10042.5.0.5548.2024010500405639463,0
1.3.46.670589.11.10042.5.0.5548.2024010501112275920,0
1.3.46.670589.11.10042.5.0.5548.2024010501103343919,0
1.3.46.670589.11.10042.5.0.5548.2024010501140173980,0
1.3.46.670589.11.10042.5.0.5328.2024011007521248542,1
1.3.46.670589.11.10042.5.0.5328.2024011007501981516,1
1.3.46.670589.11.10042.5.0.5328.2024011007484014484,1
1.3.46.670589.11.10042.5.0.5328.2024011009245745209,0
1.3.46.670589.11.10042.5.0.5328.2024011009271657241,0
1.3.46.670589.11.10042.5.0.5328.2024011009255284210,0
1.3.46.670589.11.10042.5.0.5328.2024011009351396395,0
1.3.46.670589.11.10042.5.0.5328.2024011009334879364,0
1.3.46.670589.11.10042.5.0.5328.2024011009330498363,0
1.3.46.670589.11.10042.5.0.5328.2024011011340595359,0
1.3.46.670589.11.10042.5.0.5328.2024011011323756358,0
1.3.46.670589.11.10042.5.0.5328.2024011011301245315,0
1.3.46.670589.11.10042.5.0.5328.2024011011434271531,0
1.3.46.670589.11.10042.5.0.5328.2024011011421632530,0
1.3.46.670589.11.10042.5.0.5328.2024011011395082487,0
1.3.46.670589.11.10042.5.0.5328.2024011012505704736,0
1.3.46.670589.11.10042.5.0.5328.2024011012515279737,0
1.3.46.670589.11.10042.5.0.5328.2024011012531898768,0
1.3.46.670589.11.10042.5.0.5328.2024011013232007187,0
1.3.46.670589.11.10042.5.0.5328.2024011013253942219,0
1.3.46.670589.11.10042.5.0.5328.2024011013241545188,0
1.3.46.670589.11.10042.5.0.5328.2024011013314031341,0
1.3.46.670589.11.10042.5.0.5328.2024011013323573342,0
1.3.46.670589.11.10042.5.0.5328.2024011013335959373,0
1.3.46.670589.11.10042.5.0.5328.2024011015042346462,1
1.3.46.670589.11.10042.5.0.5328.2024011015050100463,1
1.3.46.670589.11.10042.5.0.5328.2024011015081690523,1
1.3.46.670589.11.10042.5.0.5328.2024011017333776766,0
1.3.46.670589.11.10042.5.0.5328.2024011017341193767,0
1.3.46.670589.11.10042.5.0.5328.2024011017353739798,0
1.3.46.670589.11.10042.5.0.5328.2024011017422218916,1
1.3.46.670589.11.10042.5.0.5328.2024011017425620917,1
1.3.46.670589.11.10042.5.0.5328.2024011017473353991,1
1.3.46.670589.11.10042.5.0.5328.2024011022141357832,0
1.3.46.670589.11.10042.5.0.5328.2024011022153443865,0
1.3.46.670589.11.10042.5.0.5328.2024011022132810831,0
1.3.46.670589.11.10042.5.0.5328.2024011022363337260,0
1.3.46.670589.11.10042.5.0.5328.2024011022371895261,0
1.3.46.670589.11.10042.5.0.5328.2024011022383976294,0
1.3.46.670589.11.10042.5.0.5328.2024011023013135699,0
